ПМИГ.123456.789,Кронштейн крепления двигателя,А1,Иванов А. П.,1901
ПМИГ.987654.321,Вал,А2,Петров С. М.,1902
ПМИГ.555555.001,Крышка защитная (левая сторона),А4,Сидоров В. К.,1903
ПМИГ.111222.333,Шайба М12х24,А3,Кузнецова Е. О.,1904
ПМИГ.444444.444,Подшипник радиально-упорный 30205,А2,Васильев И. Н.,1905
ПМИГ.777888.999,Корпус редуктора (сборка),А1,Смирнов Д. С.,1906
ПМИГ.000123.456,Прокладка,А4,Федорова Л. М.,1907
ПМИГ.654321.000,Втулка переходная для гидроцилиндра,А3,Николаев П. Р.,1908
ПМИГ.333222.111,Клапан обратный DN50,А2,Морозов А. В.,1909
ПМИГ.999000.555,Ремень клиновой А-1250,А4,Белова О. И.,1910
ПМИГ.456789.123,Кожух вентилятора (верхняя часть),А1,Григорьев М. Т.,1911
ПМИГ.222333.444,Гайка М8,А3,Тихонов Р. Е.,1912
ПМИГ.888777.666,Фланец присоединительный,А2,Козлова Н. С.,1913
ПМИГ.121212.121,Штуцер,А4,Лебедев К. А.,1914
ПМИГ.787878.787,Ось,А1,Соколов В. П.,1915
ПМИГ.505050.505,Крестовина карданного вала,А3,Павлов И. Г.,1916
ПМИГ.606060.606,Кольцо стопорное 20х24,А2,Макарова А. Л.,1917
ПМИГ.909090.909,Крышка люка (смотрового окна),А4,Волков Д. Ф.,1918
ПМИГ.123123.123,Штифт цилиндрический 5х30,А1,Зайцева Е. Р.,1919
ПМИГ.456456.456,Пластина направляющая,А3,Комаров С. В.,1920
